2015 八月 27 20:13:33,713 DEBUG io.netty.util.internal.logging.InternalLoggerFactory Using SLF4J as the default logging framework
 main2015 八月 27 20:13:33,762 INFO  org.ddpush.im.v1.node.IMServer start connector...
 main2015 八月 27 20:13:33,793 DEBUG io.netty.channel.MultithreadEventLoopGroup -Dio.netty.eventLoopThreads: 8
 IMServer-push-listener2015 八月 27 20:13:33,849 DEBUG io.netty.util.internal.PlatformDependent0 java.nio.Buffer.address: available
 IMServer-push-listener2015 八月 27 20:13:33,850 DEBUG io.netty.util.internal.PlatformDependent0 sun.misc.Unsafe.theUnsafe: available
 IMServer-push-listener2015 八月 27 20:13:33,851 DEBUG io.netty.util.internal.PlatformDependent0 sun.misc.Unsafe.copyMemory: available
 IMServer-push-listener2015 八月 27 20:13:33,853 DEBUG io.netty.util.internal.PlatformDependent0 java.nio.Bits.unaligned: true
 IMServer-push-listener2015 八月 27 20:13:33,854 DEBUG io.netty.util.internal.PlatformDependent Platform: Windows
 IMServer-push-listener2015 八月 27 20:13:33,856 DEBUG io.netty.util.internal.PlatformDependent Java version: 7
 IMServer-push-listener2015 八月 27 20:13:33,856 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.noUnsafe: false
 IMServer-push-listener2015 八月 27 20:13:33,857 DEBUG io.netty.util.internal.PlatformDependent sun.misc.Unsafe: available
 IMServer-push-listener2015 八月 27 20:13:33,858 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.noJavassist: false
 IMServer-push-listener2015 八月 27 20:13:33,861 DEBUG io.netty.util.internal.PlatformDependent Javassist: unavailable
 IMServer-push-listener2015 八月 27 20:13:33,861 DEBUG io.netty.util.internal.PlatformDependent You don't have Javassist in your class path or you don't have enough permission to load dynamically generated classes.  Please check the configuration for better performance.
 IMServer-push-listener2015 八月 27 20:13:33,862 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.tmpdir: C:\Users\taojiaen\AppData\Local\Temp (java.io.tmpdir)
 IMServer-push-listener2015 八月 27 20:13:33,864 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.bitMode: 64 (sun.arch.data.model)
 IMServer-push-listener2015 八月 27 20:13:33,865 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.noPreferDirect: false
 IMServer-push-listener2015 八月 27 20:13:33,978 DEBUG io.netty.channel.nio.NioEventLoop -Dio.netty.noKeySetOptimization: false
 IMServer-push-listener2015 八月 27 20:13:33,978 DEBUG io.netty.channel.nio.NioEventLoop -Dio.netty.selectorAutoRebuildThreshold: 512
 IMServer-push-listener2015 八月 27 20:13:34,062 INFO  org.ddpush.im.v1.node.udpconnector.UdpConnector udp connector port
 main2015 八月 27 20:13:34,146 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.numHeapArenas: 1
 main2015 八月 27 20:13:34,146 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.numDirectArenas: 1
 main2015 八月 27 20:13:34,147 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.pageSize: 8192
 main2015 八月 27 20:13:34,147 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.maxOrder: 11
 main2015 八月 27 20:13:34,147 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.chunkSize: 16777216
 main2015 八月 27 20:13:34,148 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.tinyCacheSize: 512
 main2015 八月 27 20:13:34,148 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.smallCacheSize: 256
 main2015 八月 27 20:13:34,149 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.normalCacheSize: 64
 main2015 八月 27 20:13:34,149 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.maxCachedBufferCapacity: 32768
 main2015 八月 27 20:13:34,149 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.cacheTrimInterval: 8192
 main2015 八月 27 20:13:34,253 DEBUG io.netty.util.internal.ThreadLocalRandom -Dio.netty.initialSeedUniquifier: 0x32e69655bca4e566 (took 49 ms)
 IMServer-push-listener2015 八月 27 20:13:34,417 DEBUG io.netty.buffer.ByteBufUtil -Dio.netty.allocator.type: unpooled
 IMServer-push-listener2015 八月 27 20:13:34,417 DEBUG io.netty.buffer.ByteBufUtil -Dio.netty.threadLocalDirectBufferSize: 65536
 IMServer-push-listener2015 八月 27 20:13:34,476 INFO  org.ddpush.im.v1.node.udpconnector.UdpConnector udp connector port:9966
 main2015 八月 27 20:13:34,510 INFO  org.ddpush.im.v1.node.IMServer start 3 workers...
 main2015 八月 27 20:13:34,525 INFO  org.ddpush.im.v1.node.IMServer server is up 
 main2015 八月 27 20:13:34,959 DEBUG io.netty.util.NetUtil Loopback interface: lo (Software Loopback Interface 1, 127.0.0.1)
 IMServer-push-listener2015 八月 27 20:13:34,961 DEBUG io.netty.util.NetUtil \proc\sys\net\core\somaxconn: 200 (non-existent)
 IMServer-push-listener2015 八月 27 20:13:34,976 INFO  org.ddpush.im.v1.node.pushlistener.NettyPushListener Netty TCP Push Listener nio provider: io.netty.bootstrap.ServerBootstrap
 IMServer-push-listener2015 八月 27 20:22:46,533 DEBUG io.netty.util.internal.logging.InternalLoggerFactory Using SLF4J as the default logging framework
 main2015 八月 27 20:23:08,925 DEBUG io.netty.util.internal.logging.InternalLoggerFactory Using SLF4J as the default logging framework
 main2015 八月 27 20:23:08,994 DEBUG io.netty.channel.MultithreadEventLoopGroup -Dio.netty.eventLoopThreads: 8
 main2015 八月 27 20:23:09,027 DEBUG io.netty.util.internal.PlatformDependent0 java.nio.Buffer.address: available
 main2015 八月 27 20:23:09,028 DEBUG io.netty.util.internal.PlatformDependent0 sun.misc.Unsafe.theUnsafe: available
